"Location","Locationcode","Resono-ID","Start","End","Visits"
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",91
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",75
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",64
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",50
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",16
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",16
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",15
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",15
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",9
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",9
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",9
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",67
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",50
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",39
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",39
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",12
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",71
"Planciusbuurt Zuid","d872f67c-7de3-46b5-b937-664a37f115d2","rcd23000","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",56
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",327
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",299
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",228
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",273
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",246
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",173
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",155
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",149
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",94
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",76
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",133
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",79
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",62
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",60
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",32
